rank,score,EMPRESA_JUNIOR,E_MAIL,SITE,CNPJ,FEDERATION_NAME,NUCLEOS,ESTADO,CIDADE,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK
56,63.4,Evolution Soluções Ambientais ,diretoriaej.logistica@gmail.com,https://consultoriaevolution.wixsite.com/ejevolution,44.463.877/0001-94,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE VEIGA DE ALMEIDA,"Administração, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Ambiental, Engenharia Civil, Engenharia De Computação, Engenharia De Petróleo, Engenharia De Produção, Engenharia Elétrica, Engenharia Mecânica, Geografia, Jornalismo, Psicologia",3.0,1673.12,4.0,1.0,Sim,
57,63.3,Multiconsultoria,vicepresidencia@multiconsultoria.org.br,http://www.multiconsultoria.org.br/,02.577.076/0001-00,RioJunior,,RJ,Seropédica,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,"Administração, Administração Pública, Ciências Contábeis, Ciências Econômicas, Jornalismo",8.0,40011.8,7.0,3.0,Sim,https://www.facebook.com/multiconsultoriaej
58,63.3,Jornalismo Júnior,contato@jornalismojunior.com.br,https://jornalismojunior.com.br/,07.107.712/0001-53,FEJESP,Núcleo São Paulo,SP,São Paulo,UNIVERSIDADE DE SÃO PAULO,Jornalismo,23.0,1905.0,7.0,1.0,Sim,https://www.facebook.com/jornalismojunior/
59,63.3,Foca.Jr,,,49.746.471/0001-32,FEJEMG,Núcleo Central,MG,Belo Horizonte,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,"Comunicação Social - Cinema E Audiovisual, Comunicação Social - Publicidade E Propaganda, Jornalismo, Relações Públicas",28.0,15609.3,9.0,2.0,Sim,
60,62.0,Cacto Comunicação,cactocomunicacao@cactocomunicacao.org.br,https://www.cactocomunicacao.org.br/,30.033.467/0001-07,FEJEPAR,Núcleo Curitiba,PR,Curitiba,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,Comunicação Organizacional,18.0,7415.32,6.0,1.0,Sim,https://www.facebook.com/cactocomunicacao/
61,61.6,Elabora Conteúdo Criativo,presidencia@elaboraej.com.br,http://www.elaboraej.com.br,23.749.451/0001-21,PB júnior,,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,Comunicação Em Mídias Digitais,6.0,1535.0,4.0,1.0,Sim,http://www.facebook.com.br
62,61.3,Communicare Jr ,communicarejunior@gmail.com,https://www.communicarejr.com,18.670.241/0001-03,FEJEMG,Núcleo Triângulo,MG,Uberlândia,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Jornalismo,12.0,23064.0,6.0,1.0,Sim,https://www.facebook.com/communicarejr
63,60.6,RPjr,presidencia@rpjr.com.br,http://www.rpjr.com.br/,05.147.605/0001-23,FEJESP,Núcleo Bauru,SP,Bauru,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,Relações Públicas,18.0,13655.0,9.0,3.0,Não,https://www.facebook.com/rpjrunespbauru/
64,60.3,IME Jr,contato@imejr.com,https://imejr.com,26.531.013/0001-80,FEJESP,Núcleo São Paulo,SP,São Paulo,UNIVERSIDADE DE SÃO PAULO,"Ciência Da Computação, Design, Estatística, Matemática, Matemática Aplicada Com Habilitação Em Ciências Biológicas, Matemática Aplicada Com Habilitação Em Controle E Automação, Matemática Aplicada Com Habilitação Em Métodos Matemáticos, Matemática Aplicada Com Habilitação Em Sistemas E Controle, Matemática Aplicada E Computacional Com Habilitação Em Atuária, Matemática Aplicada E Computacional Com Habilitação Em Ciências Biológicas, Matemática Aplicada E Computacional Com Habilitação Em Comunicação Científica, Matemática Aplicada E Computacional Com Habilitação Em Estatística Econômica, Matemática Aplicada E Computacional Com Habilitação Em Fisiologia E Biofísica, Matemática Aplicada E Computacional Com Habilitação Em Mecatrônica E Sistemas Mecânicos, Matemática Aplicada E Computacional Com Habilitação Em Métodos Matemáticos, Matemática Aplicada E Computacional Com Habilitação Em Saúde Animal, Matemática Aplicada E Computacional Com Habilitação Em Saúde Pública, Matemática Aplicada E Computacional Com Habilitação Em Sistemas E Controle",9.0,0.0,0.0,3.0,Não,https://www.facebook.com/IMEJuniorUSP/
65,60.2,Uni-FACEF Júnior,consultoria@unifacefjr.com,https://unifacefjr.com.br/,23.625.900/0001-20,FEJESP,Núcleo São Carlos,SP,Franca,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,"Administração, Ciências Contábeis, Ciências Da Computação, Ciências Econômicas, Engenharia Civil, Engenharia De Produção, Engenharia De Software, Letras - Inglês, Letras - Língua Portuguesa, Matemática, Psicologia, Publicidade E Propaganda, Sistemas De Informação",10.0,2531.93,4.0,3.0,Não,https://www.facebook.com/unifacefjunior/
66,59.5,Ethos Consultoria Jr.,institucional@ethosconsultoriajr.com,,04.007.248/0001-35,FEJEPE,,PE,Recife,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Administração, Pedagogia, Psicologia, Publicidade E Propaganda, Serviço Social, Terapia Ocupacional",28.0,30150.49,9.0,3.0,Não,
67,59.5,Facic Junior Unoeste,facic.jr@gmail.com,http://www.unoeste.br/facic/,03.329.528/0001-05,FEJESP,Núcleo Bauru,SP,Presidente Prudente,UNIVERSIDADE DO OESTE PAULISTA,"Administração, Ciências Contábeis, Gestão Comercial, Gestão De Recursos Humanos, Marketing",9.0,4485.0,6.0,1.0,Sim,https://www.facebook.com/facicjr/?ref=br_rs
68,58.8,Locomotiva Jr.,locomotivajr@gmail.com,,08.084.165/0001-09,FEJESP,Núcleo Bauru,SP,Bauru,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Arquitetura E Urbanismo, Artes Visuais, Comunicação: Rádio, Televisão E Internet, Jornalismo",17.0,4000.0,1.0,1.0,Sim,https://www.facebook.com/locomotivajr
69,58.4,Uipi - Empresa Júnior de Design e Animação da UFSC,contato@uipi.design,https://uipi.ufsc.br/,11.208.631/0001-17,FEJESC,Núcleo Floripa,SC,Florianópolis,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"Administração, Animação, Cinema, Design, Design De Produto, Psicologia",18.0,10305.5,3.0,1.0,Não,https://www.facebook.com/uipidesign/
70,58.3,Canindé Design,executiva@canindesign.com,,31.896.034/0001-30,Goiás Júnior,,GO,Goiânia,UNIVERSIDADE FEDERAL DE GOIÁS,"Design De Ambientes, Design Gráfico",17.0,13052.25,11.0,1.0,Sim,https://www.facebook.com/canindesign
71,58.0,Argo Consultoria Jurídica,argoconsultoriajuridica@gmail.com,https://www.argoconsultoriajuridica.com.br/,35.747.113/0001-30,FEJESC,Núcleo Floripa,SC,Florianópolis,FACULDADE CESUSC,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Design De Interiores, Direito, Gestão Comercial, Gestão De Recursos Humanos, Marketing, Produção Multimídia, Psicologia",9.0,18370.0,7.0,1.0,Não,
72,57.6,FECAP Jr - Consultoria Empresarial,fecapjr@fecap.br,,11.399.703/0001-50,FEJESP,Núcleo São Paulo,SP,São Paulo,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,"Administração, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Relações Internacionais, Relações Públicas",7.0,1000.0,3.0,1.0,Sim,
73,57.1,Líderes Jr.,lideresjunior.usc@gmail.com,,29.953.347/0001-30,FEJESP,Núcleo Bauru,SP,Bauru,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,"Administração, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design, Engenharia Civil, Engenharia De Produção, Engenharia Mecânica",1.0,1085.0,1.0,1.0,Sim,
74,56.5,Júnior Design,juniordesignufpr@gmail.com,http://juniordesignufpr.com.br/,03.461.473/0001-84,FEJEPAR,Núcleo Curitiba,PR,Curitiba,UNIVERSIDADE FEDERAL DO PARANÁ,"Design De Produto, Design Gráfico",13.0,3201.0,2.0,1.0,Não,https://www.facebook.com/juniordesignufpr/?fref=ts
75,56.5,Octopus - Soluções em Gestão e Negócios,,,48.979.963/0001-05,PB júnior,,PB,João Pessoa,FACULDADE INTERNACIONAL DA PARAÍBA,"Administração, Análise E Desenvolvimento De Sistemas, Ciências Contábeis, Ciências Da Computação, Comunicação Social - Publicidade E Propaganda, Design Gráfico, Gestão Comercial, Gestão Da Tecnologia Da Informação, Gestão De Recursos Humanos, Gestão Financeira, Gestão Pública, Jornalismo, Logística, Marketing, Psicologia",11.0,2400.0,2.0,1.0,Sim,
76,56.4,NAPPES - Consultoria Júnior,atendimentonappesconsultoria@gmail.com,,05.306.983/0001-02,PB júnior,,PB,Campina Grande,UNIVERSIDADE ESTADUAL DA PARAÍBA,"Administração, Ciências Contábeis, Jornalismo, Serviço Social",26.0,4053.98,8.0,1.0,Não,https://www.facebook.com/nappesconsultoria/
77,55.6,AMPLA - Consultoria Júnior,amplaconsultoriajr@gmail.com,,28.785.829/0001-66,Tocantins Júnior,,TO,Palmas,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,"Administração, Arquitetura E Urbanismo, Ciência Da Computação, Ciências Econômicas, Direito, Enfermagem, Engenharia Ambiental, Engenharia Civil, Engenharia De Alimentos, Engenharia Elétrica, Filosofia, Jornalismo, Medicina, Nutrição, Pedagogia",28.0,2214.0,3.0,1.0,Não,https://www.facebook.com/amplaconsultoriajr/
78,55.5,PROSPECT JR EMPRESA JUNIOR DE PROJETOS E CONSULTORIA EMPRESARIAL,contato@prospectjr.com.br,https://www.prospectjr.com.br/,42.447.447/0001-53,FEJESP,Núcleo São Carlos,SP,Ribeirão Preto,CENTRO UNIVERSITÁRIO MOURA LACERDA,"Administração, Ciência Econômica, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Direito, Gestão Comercial, Gestão Da Tecnologia Da Informação, Gestão De Recursos Humanos, Gestão Financeira, Logística, Relações Internacionais",2.0,0.0,0.0,1.0,Não,
79,54.8,Mutare Empresa Júnior de Relações Públicas,mutare.rp@gmail.com,,30.610.811/0001-75,Goiás Júnior,,GO,Goiânia,UNIVERSIDADE FEDERAL DE GOIÁS,Relações Públicas,23.0,6694.6,10.0,1.0,Sim,
80,54.1,Container Digital Júnior,containerdigitaljr@gmail.com,http://www.codijr.ufc.br/,21.830.573/0001-12,FEJECE,,CE,Fortaleza,UNIVERSIDADE FEDERAL DO CEARÁ,Sistemas E Mídias Digitais,5.0,800.0,1.0,1.0,Não,https://www.facebook.com/codijr
81,53.7,Crescer Empresa Jr,,,46.438.882/0001-72,FEJERS,,RS,Lajeado,UNIVERSIDADE DO VALE DO TAQUARI,"Administração, Ciências Biológicas, Ciências Contábeis, Comércio Exterior, Design, Design De Moda, Direito, Educação Física, Fotografia, Gestão De Cooperativas, Gestão De Micro E Pequenas Empresas, Gestão De Recursos Humanos, Gestão Financeira, História, Jornalismo, Letras, Logística, Marketing, Pedagogia, Processos Gerenciais, Relações Internacionais",15.0,1000.0,1.0,1.0,Sim,https://www.facebook.com/Crescer-Empresa-Jr-Univates-102694165719438/
82,53.6,PRODCOM,contato@prodcom.com,https://prodcom.com.br/,48.928.176/0001-34,FEJESC,Núcleo Vale Boreal,SC,Joinville,CENTRO UNIVERSITÁRIO SOCIESC,"Administração, Ciências Contábeis, Gestão De Recursos Humanos, Marketing",1.0,1254.0,3.0,1.0,Sim,
83,53.6,Focus Júnior Assessoria,focusjrassessoria@gmail.com,,34.971.053/0001-71,UNIJr-BA,NEJ Elementar,BA,Ilhéus,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,"Comunicação Social - Rádio, Tv E Internet",9.0,1044.0,3.0,1.0,Sim,https://www.facebook.com/focusjrassessoria
84,53.6,Imprensatriz ,,http://imprensatriz.ufma.br/,47.294.786/0001-60,Maranhão Júnior,,MA,Imperatriz,UNIVERSIDADE FEDERAL DO MARANHÃO,"Comunicação Social - Jornalismo, Jornalismo",8.0,4900.0,1.0,1.0,Sim,https://www.facebook.com/Imprensatriz/?locale=pt_BR
85,53.3,Interage Jr - Empresa Júnior de Psicologia,einterage@gmail.com,,09.009.565/0001-04,FEJESP,Núcleo Bauru,SP,Bauru,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Psicologia, Relações Públicas",21.0,16765.0,4.0,1.0,Não,https://www.facebook.com/interage.empresajunior/?fref=ts
86,51.2,Ideia Jr,,https://ideiajr.com.br,49.075.282/0001-85,FEJEMG,Núcleo Central,MG,Belo Horizonte,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,"Artes Visuais, Design De Ambientes, Design De Produto, Design Gráfico, Moda E Design",15.0,7364.75,10.0,1.0,Sim,
87,50.2,Ginga Design Empresa Júnior,,,53.004.091/0001-08,FEJEPE,,PE,Caruaru,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Comunicação Social, Design",20.0,4830.0,7.0,1.0,Sim,
88,47.1,EJ7 Consultoria,ej7consultoria@gmail.com,,40.038.893/0001-89,FEJECE,,CE,Fortaleza,UNIVERSIDADE DE FORTALEZA,"Administração, Ciências Contábeis, Ciências Econômicas, Marketing, Psicologia",9.0,150.0,1.0,1.0,Não,
89,46.0,Prospecta Júnior,,,04.505.919/0001-98,FEJESP,Núcleo São Carlos,,,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,"Administração, Gestão De Recursos Humanos, Gestão Financeira, Marketing",21.0,1050.0,4.0,1.0,Sim,
90,46.0,Faro Comunicação,,,51.772.296/0001-08,Maranhão Júnior,,MA,São Luís,UNIVERSIDADE CEUMA,"Comunicação Social - Publicidade E Propaganda, Jornalismo",4.0,4445.47,1.0,0.0,Não,
91,44.2,Sagaz Jr,,https://sagazjunior.wordpress.com/,56.926.385/0001-77,Tocantins Júnior,,TO,Palmas,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,Jornalismo,7.0,2150.0,3.0,1.0,Não,
92,41.8,UNIJUNIOR ,,,03.658.422/0001-47,FEJEMS,,,,CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS,"Administração, Agronegócio, Agronomia, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Artes Visuais, Biomedicina, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Comércio Exterior, Design De Interiores, Direito, Educação Física, Enfermagem, Engenharia Ambiental E Sanitária, Engenharia Civil, Engenharia De Produção, Engenharia De Software, Engenharia Mecânica, Estética E Cosmética, Farmácia, Filosofia, Fisioterapia, Formação Pedagógica Para Portadores De Ensino Superior, Gastronomia, Geografia, Gestão Comercial, Gestão De Recursos Humanos, Gestão De Turismo, Gestão Pública, História, Letras - Língua Portuguesa, Letras - Português E Inglês, Logística, Marketing, Matemática, Medicina Veterinária, Negócios Imobiliários, Nutrição, Odontologia, Pedagogia, Produção Agrícola, Produção Publicitária, Psicologia, Radiologia, Segunda Licenciatura Em Pedagogia, Serviços Jurídicos, Serviço Social, Teologia",5.0,696.0,2.0,1.0,Não,
93,35.8,Empresa Junior UNIFIA,,,54.948.420/0001-23,FEJESP,Núcleo Campinas,,,CENTRO UNIVERSITÁRIO AMPARENSE,"Administração, Análise E Desenvolvimento De Sistemas, Biomedicina, Ciências Biológicas, Ciências Contábeis, Direito, Educação Física, Enfermagem, Engenharia Civil, Estética E Cosmética, Gestão Da Produção Industrial, Gestão Da Qualidade, Gestão De Recursos Humanos, Logística, Marketing, Mecatrônica Industrial, Nutrição, Pedagogia, Psicologia, Química",1.0,0.0,0.0,0.0,Não,
