rank_plano,EMPRESA_JUNIOR,ESTADO,CIDADE,CNPJ,E_MAIL,SITE,FEDERATION_NAME,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK,aderencia,demanda,acessibilidade,capacidade,encaixe,score,planning_score,pure_comm,creative,broad,matches
56,Locomotiva Jr.,SP,Bauru,08.084.165/0001-09,locomotivajr@gmail.com,,FEJESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Arquitetura E Urbanismo, Artes Visuais, Comunicação: Rádio, Televisão E Internet, Jornalismo",17.0,4000.0,1.0,1.0,Sim,https://www.facebook.com/locomotivajr,24,6.3,15,2.6,11.0,58.8,64.8,True,True,False,comunicação; jornalismo
57,Salto Consultoria,RJ,Rio de Janeiro,26.288.823/0001-58,presidencia@saltoconsultoria.com,https://www.saltoconsultoria.com/,RioJunior,UNIVERSIDADE VEIGA DE ALMEIDA,"Administração, Ciência Da Computação, Ciência Econômica, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design Gráfico, Direito, Engenharia Ambiental, Engenharia Civil, Engenharia De Computação, Engenharia De Petróleo, Engenharia Elétrica, Psicologia, Relações Internacionais",7.0,4980.0,4.0,2.0,Sim,https://pt-br.facebook.com/saltoconsultoria,28,6.4,20,1.6,12.5,68.6,64.6,True,True,True,comunicação; publicidade; propaganda; design
58,RPjr,SP,Bauru,05.147.605/0001-23,presidencia@rpjr.com.br,http://www.rpjr.com.br/,FEJESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,Relações Públicas,18.0,13655.0,9.0,3.0,Não,https://www.facebook.com/rpjrunespbauru/,22,6.5,20,4.1,8.0,60.6,64.6,True,False,False,relações públicas
59,FECAP Jr - Consultoria Empresarial,SP,São Paulo,11.399.703/0001-50,fecapjr@fecap.br,,FEJESP,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,"Administração, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Relações Internacionais, Relações Públicas",7.0,1000.0,3.0,1.0,Sim,,28,5.3,12,1.3,11.0,57.6,63.6,True,True,False,comunicação; publicidade; propaganda; relações públicas
60,Líderes Jr.,SP,Bauru,29.953.347/0001-30,lideresjunior.usc@gmail.com,,FEJESP,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,"Administração, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design, Engenharia Civil, Engenharia De Produção, Engenharia Mecânica",1.0,1085.0,1.0,1.0,Sim,,28,4.3,12,0.3,12.5,57.1,63.1,True,True,False,comunicação; publicidade; propaganda; design
61,PUC Consultoria Jr.,MG,Belo Horizonte,65.135.279/0001-66,contato@pucconsultoriajr.com.br,http://www.pucconsultoriajr.com.br/,FEJEMG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,"Administração, Banco De Dados, Ciências Biológicas - BH, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Direito, Engenharia De Produção, Fisioterapia, Fonoaudiologia, Geografia - BH, Gestão Comercial, Gestão De Recursos Humanos, Gestão Financeira, História, Marketing, Relações Internacionais, Serviço Social",36.0,97907.08,12.0,3.0,Não,https://www.facebook.com/PUCConsultoriaJr/?fref=ts,22,10.0,20,9.4,9.5,70.9,62.900000000000006,False,True,True,marketing
62,Carioca Jr,RJ,Rio de Janeiro,51.235.900/0001-59,,https://www.cariocajr.com.br/,RioJunior,CENTRO UNIVERSITÁRIO UNICARIOCA,"Administração, Análise E Desenvolvimento De Sistemas, Biomedicina, Ciência Da Computação, Ciências Contábeis, Comunicação Social - Jornalismo, Comunicação Social - Publicidade E Propaganda, Design, Direito, Engenharia Civil, Engenharia De Computação, Engenharia De Produção, Engenharia Elétrica, Gestão Comercial, Gestão De Recursos Humanos, Gestão Financeira, Jornalismo, Logística, Marketing, Pedagogia, Processos Gerenciais, Publicidade E Propaganda, Redes De Computadores, Serviço Social",16.0,2507.0,5.0,1.0,Sim,https://www.facebook.com/empresacariocajr/,30,6.7,12,2.9,15,66.5,62.5,True,True,True,comunicação; jornalismo; publicidade; propaganda; marketing; design
63,NAPPES - Consultoria Júnior,PB,Campina Grande,05.306.983/0001-02,atendimentonappesconsultoria@gmail.com,,PB júnior,UNIVERSIDADE ESTADUAL DA PARAÍBA,"Administração, Ciências Contábeis, Jornalismo, Serviço Social",26.0,4053.98,8.0,1.0,Não,https://www.facebook.com/nappesconsultoria/,22,5.3,15,4.6,9.5,56.4,62.4,True,True,False,jornalismo
64,Legacy PUCRS Empresa Júnior,RS,Porto Alegre,38.134.220/0001-80,legacypucrsjunior@gmail.com,,FEJERS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,"Arquitetura E Urbanismo, Biomedicina, Ciência Da Computação, Ciência E Inovação Em Alimentos, Ciências Aeronáuticas, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Direito, Educação Física, Enfermagem, Engenharia Civil, Engenharia De Computação, Engenharia De Controle E Automação, Engenharia De Produção, Engenharia De Software, Engenharia Elétrica, Engenharia Mecânica, Engenharia Química, Escrita Criativa, Farmácia, Filosofia, Física, Fisioterapia, Gastronomia, Geografia, História, Jornalismo, Letras - Língua Inglesa, Letras - Língua Portuguesa E Respectivas Literaturas, Matemática, Medicina, Nutrição, Odontologia, Pedagogia, Produção Audiovisual, Psicologia, Publicidade E Propaganda, Química, Relações Internacionais, Serviço Social, Sistemas De Informação, Teologia",31.0,3170.0,7.0,1.0,Sim,,28,8.8,12,5.0,12.5,66.3,62.3,True,True,True,jornalismo; publicidade; propaganda; audiovisual
65,Facic Junior Unoeste,SP,Presidente Prudente,03.329.528/0001-05,facic.jr@gmail.com,http://www.unoeste.br/facic/,FEJESP,UNIVERSIDADE DO OESTE PAULISTA,"Administração, Ciências Contábeis, Gestão Comercial, Gestão De Recursos Humanos, Marketing",9.0,4485.0,6.0,1.0,Sim,https://www.facebook.com/facicjr/?ref=br_rs,22,5.9,20,2.1,9.5,59.5,61.5,False,True,False,marketing
66,Líder Engenharia Jr,PE,Recife,48.640.891/0001-77,,https://www.liderengenhariajr.com,FEJEPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Abi - Engenharia, Administração, Arqueologia, Arquitetura E Urbanismo, Artes Visuais, Biblioteconomia, Biomedicina, Ciência Da Computação, Ciência Política, Ciências Atuariais, Ciências Biológicas, Ciências Biológicas - Ênfase Em Ciências Ambientais, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Cinema E Audiovisual, Dança, Design, Direito, Educação Física, Enfermagem, Engenharia Biomédica, Engenharia Cartográfica E De Agrimensura, Engenharia Civil, Engenharia Da Computação, Engenharia De Alimentos, Engenharia De Controle E Automação, Engenharia De Energia, Engenharia De Materiais, Engenharia De Minas, Engenharia De Produção, Engenharia De Telecomunicações, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Naval, Engenharia Química, Estatística, Expressão Gráfica, Farmácia, Filosofia, Física, Fisioterapia, Fonoaudiologia, Geografia, Geologia, Gestão Da Informação, História, Hotelaria, Jornalismo, Letras, Letras - Espanhol, Letras - Francês, Letras - Inglês, Letras - Libras, Letras - Português, Matemática, Medicina, Museologia, Música, Música - Canto, Música - Instrumento, Nutrição, Oceanografia, Odontologia, Pedagogia, Psicologia, Publicidade E Propaganda, Química, Química Industrial, Rádio, Tv E Internet, Saúde Coletiva, Secretariado Executivo, Serviço Social, Sistemas De Informação, Teatro, Terapia Ocupacional, Turismo",9.0,12483.7,9.0,1.0,Sim,https://web.facebook.com/profile.php?id=100088242787526,30,6.4,12,2.8,14.0,65.2,61.2,True,True,True,jornalismo; publicidade; propaganda; audiovisual; design
67,RELAB Jr. Consultoria,RS,Porto Alegre,47.726.115/0001-21,,,FEJERS,UNIVERSIDADE DO VALE DO RIO DOS SINOS,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Biomedicina, Ciência Da Computação, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Comércio Exterior, Comunicação Digital, Design, Design De Produto, Direito, Educação Física, Enfermagem, Engenharia Agronômica, Engenharia Ambiental, Engenharia Biomédica, Engenharia Cartográfica E De Agrimensura, Engenharia Civil, Engenharia Da Computação, Engenharia De Alimentos, Engenharia De Controle E Automação, Engenharia De Energia, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Química, Farmácia, Filosofia, Física, Física Médica, Fisioterapia, Fotografia, Gastronomia, Geologia, Gestão Ambiental, Gestão Comercial, Gestão Da Produção Industrial, Gestão Da Tecnologia Da Informação, Gestão Financeira, História, Interdisciplinar Em Humanidades, Artes E Tecnologia, Jornalismo, Letras - Inglês, Letras - Português, Letras - Português E Alemão, Letras - Português E Espanhol, Letras Português E Inglês, Logística, Marketing, Matemática, Medicina, Moda, Nutrição, Pedagogia, Processos Gerenciais, Relações Internacionais, Segurança Da Informação, Serviço Social, Sistemas De Informação, Sistemas Para Internet",28.0,35152.72,11.0,1.0,Sim,https://www.facebook.com/relabjrconsultoria,28,9.2,7,6.5,14.0,64.7,60.7,True,True,True,comunicação; jornalismo; marketing; design
68,Uipi - Empresa Júnior de Design e Animação da UFSC,SC,Florianópolis,11.208.631/0001-17,contato@uipi.design,https://uipi.ufsc.br/,FEJESC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"Administração, Animação, Cinema, Design, Design De Produto, Psicologia",18.0,10305.5,3.0,1.0,Não,https://www.facebook.com/uipidesign/,22,3.7,20,3.2,9.5,58.4,60.4,False,True,False,design
69,Canindé Design,GO,Goiânia,31.896.034/0001-30,executiva@canindesign.com,,Goiás Júnior,UNIVERSIDADE FEDERAL DE GOIÁS,"Design De Ambientes, Design Gráfico",17.0,13052.25,11.0,1.0,Sim,https://www.facebook.com/canindesign,22,7.6,15,4.2,9.5,58.3,60.3,False,True,False,design
70,Focus Júnior Assessoria,BA,Ilhéus,34.971.053/0001-71,focusjrassessoria@gmail.com,,UNIJr-BA,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,"Comunicação Social - Rádio, Tv E Internet",9.0,1044.0,3.0,1.0,Sim,https://www.facebook.com/focusjrassessoria,22,5.5,15,1.6,9.5,53.6,59.6,True,True,False,comunicação
71,Imprensatriz,MA,Imperatriz,47.294.786/0001-60,,http://imprensatriz.ufma.br/,Maranhão Júnior,UNIVERSIDADE FEDERAL DO MARANHÃO,"Comunicação Social - Jornalismo, Jornalismo",8.0,4900.0,1.0,1.0,Sim,https://www.facebook.com/Imprensatriz/?locale=pt_BR,24,5.2,12,1.4,11.0,53.6,59.6,True,True,False,comunicação; jornalismo
72,Evolution Soluções Ambientais,RJ,Rio de Janeiro,44.463.877/0001-94,diretoriaej.logistica@gmail.com,https://consultoriaevolution.wixsite.com/ejevolution,RioJunior,UNIVERSIDADE VEIGA DE ALMEIDA,"Administração, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Ambiental, Engenharia Civil, Engenharia De Computação, Engenharia De Petróleo, Engenharia De Produção, Engenharia Elétrica, Engenharia Mecânica, Geografia, Jornalismo, Psicologia",3.0,1673.12,4.0,1.0,Sim,,28,4.9,17,1.0,12.5,63.4,59.400000000000006,True,True,True,comunicação; jornalismo; publicidade; propaganda
73,Mutare Empresa Júnior de Relações Públicas,GO,Goiânia,30.610.811/0001-75,mutare.rp@gmail.com,,Goiás Júnior,UNIVERSIDADE FEDERAL DE GOIÁS,Relações Públicas,23.0,6694.6,10.0,1.0,Sim,,22,8.2,12,4.6,8.0,54.8,58.8,True,False,False,relações públicas
74,Júnior Design,PR,Curitiba,03.461.473/0001-84,juniordesignufpr@gmail.com,http://juniordesignufpr.com.br/,FEJEPAR,UNIVERSIDADE FEDERAL DO PARANÁ,"Design De Produto, Design Gráfico",13.0,3201.0,2.0,1.0,Não,https://www.facebook.com/juniordesignufpr/?fref=ts,22,2.9,20,2.1,9.5,56.5,58.5,False,True,False,design
75,EJUVV,ES,Vila Velha,25.354.377/0001-70,comercial@ejuvv.com,http://ejuvv.com,Juniores,UNIVERSIDADE VILA VELHA,"Administração, Arquitetura E Urbanismo, Artes Cênicas, Ciência Da Computação, Ciências Contábeis, Design De Moda, Design De Produto, Direito, Educação Física, Engenharia Civil, Engenharia De Petróleo, Engenharia Elétrica, Engenharia Mecânica, Engenharia Química, Estética E Cosmética, Farmácia, Fisioterapia, Fonoaudiologia, Fotografia, Marketing, Medicina, Medicina Veterinária, Nutrição, Odontologia, Pedagogia, Psicologia, Relações Internacionais, Sistemas De Informação",11.0,56999.44,7.0,3.0,Não,https://www.facebook.com/EJUVVConsultoria/,24,5.8,20,4.6,11.0,65.4,57.400000000000006,False,True,True,marketing; design
76,Interage Jr - Empresa Júnior de Psicologia,SP,Bauru,09.009.565/0001-04,einterage@gmail.com,,FEJESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Psicologia, Relações Públicas",21.0,16765.0,4.0,1.0,Não,https://www.facebook.com/interage.empresajunior/?fref=ts,22,4.3,15,4.0,8.0,53.3,57.3,True,False,False,relações públicas
77,IME Jr,SP,São Paulo,26.531.013/0001-80,contato@imejr.com,https://imejr.com,FEJESP,UNIVERSIDADE DE SÃO PAULO,"Ciência Da Computação, Design, Estatística, Matemática, Matemática Aplicada Com Habilitação Em Ciências Biológicas, Matemática Aplicada Com Habilitação Em Controle E Automação, Matemática Aplicada Com Habilitação Em Métodos Matemáticos, Matemática Aplicada Com Habilitação Em Sistemas E Controle, Matemática Aplicada E Computacional Com Habilitação Em Atuária, Matemática Aplicada E Computacional Com Habilitação Em Ciências Biológicas, Matemática Aplicada E Computacional Com Habilitação Em Comunicação Científica, Matemática Aplicada E Computacional Com Habilitação Em Estatística Econômica, Matemática Aplicada E Computacional Com Habilitação Em Fisiologia E Biofísica, Matemática Aplicada E Computacional Com Habilitação Em Mecatrônica E Sistemas Mecânicos, Matemática Aplicada E Computacional Com Habilitação Em Métodos Matemáticos, Matemática Aplicada E Computacional Com Habilitação Em Saúde Animal, Matemática Aplicada E Computacional Com Habilitação Em Saúde Pública, Matemática Aplicada E Computacional Com Habilitação Em Sistemas E Controle",9.0,0.0,0.0,3.0,Não,https://www.facebook.com/IMEJuniorUSP/,24,4.1,20,1.2,11.0,60.3,56.3,True,True,True,comunicação; design
78,Uni-FACEF Júnior,SP,Franca,23.625.900/0001-20,consultoria@unifacefjr.com,https://unifacefjr.com.br/,FEJESP,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,"Administração, Ciências Contábeis, Ciências Da Computação, Ciências Econômicas, Engenharia Civil, Engenharia De Produção, Engenharia De Software, Letras - Inglês, Letras - Língua Portuguesa, Matemática, Psicologia, Publicidade E Propaganda, Sistemas De Informação",10.0,2531.93,4.0,3.0,Não,https://www.facebook.com/unifacefjunior/,24,4.8,20,1.9,9.5,60.2,56.2,True,True,True,publicidade; propaganda
79,Ginga Design Empresa Júnior,PE,Caruaru,53.004.091/0001-08,,,FEJEPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Comunicação Social, Design",20.0,4830.0,7.0,1.0,Sim,,24,7.4,4,3.7,11.0,50.2,56.2,True,True,False,comunicação; design
80,PRODCOM,SC,Joinville,48.928.176/0001-34,contato@prodcom.com,https://prodcom.com.br/,FEJESC,CENTRO UNIVERSITÁRIO SOCIESC,"Administração, Ciências Contábeis, Gestão De Recursos Humanos, Marketing",1.0,1254.0,3.0,1.0,Sim,,22,4.5,17,0.6,9.5,53.6,55.6,False,True,False,marketing
81,Container Digital Júnior,CE,Fortaleza,21.830.573/0001-12,containerdigitaljr@gmail.com,http://www.codijr.ufc.br/,FEJECE,UNIVERSIDADE FEDERAL DO CEARÁ,Sistemas E Mídias Digitais,5.0,800.0,1.0,1.0,Não,https://www.facebook.com/codijr,22,1.8,20,0.8,9.5,54.1,54.1,False,False,False,mídias
82,Ideia Jr,MG,Belo Horizonte,49.075.282/0001-85,,https://ideiajr.com.br,FEJEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,"Artes Visuais, Design De Ambientes, Design De Produto, Design Gráfico, Moda E Design",15.0,7364.75,10.0,1.0,Sim,,22,7.2,9,3.5,9.5,51.2,53.2,False,True,False,design
83,Octopus - Soluções em Gestão e Negócios,PB,João Pessoa,48.979.963/0001-05,,,PB júnior,FACULDADE INTERNACIONAL DA PARAÍBA,"Administração, Análise E Desenvolvimento De Sistemas, Ciências Contábeis, Ciências Da Computação, Comunicação Social - Publicidade E Propaganda, Design Gráfico, Gestão Comercial, Gestão Da Tecnologia Da Informação, Gestão De Recursos Humanos, Gestão Financeira, Gestão Pública, Jornalismo, Logística, Marketing, Psicologia",11.0,2400.0,2.0,1.0,Sim,,30,5.6,4,1.8,15,56.5,52.5,True,True,True,comunicação; jornalismo; publicidade; propaganda; marketing; design
84,Faro Comunicação,MA,São Luís,51.772.296/0001-08,,,Maranhão Júnior,UNIVERSIDADE CEUMA,"Comunicação Social - Publicidade E Propaganda, Jornalismo",4.0,4445.47,1.0,0.0,Não,,28,0.7,4,0.8,12.5,46.0,52.0,True,True,False,comunicação; jornalismo; publicidade; propaganda
85,AMPLA - Consultoria Júnior,TO,Palmas,28.785.829/0001-66,amplaconsultoriajr@gmail.com,,Tocantins Júnior,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,"Administração, Arquitetura E Urbanismo, Ciência Da Computação, Ciências Econômicas, Direito, Enfermagem, Engenharia Ambiental, Engenharia Civil, Engenharia De Alimentos, Engenharia Elétrica, Filosofia, Jornalismo, Medicina, Nutrição, Pedagogia",28.0,2214.0,3.0,1.0,Não,https://www.facebook.com/amplaconsultoriajr/,22,4.9,15,4.2,9.5,55.6,51.6,True,True,True,jornalismo
86,PROSPECT JR EMPRESA JUNIOR DE PROJETOS E CONSULTORIA EMPRESARIAL,SP,Ribeirão Preto,42.447.447/0001-53,contato@prospectjr.com.br,https://www.prospectjr.com.br/,FEJESP,CENTRO UNIVERSITÁRIO MOURA LACERDA,"Administração, Ciência Econômica, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Direito, Gestão Comercial, Gestão Da Tecnologia Da Informação, Gestão De Recursos Humanos, Gestão Financeira, Logística, Relações Internacionais",2.0,0.0,0.0,1.0,Não,,26,1.2,17,0.3,11.0,55.5,51.5,True,True,True,comunicação; publicidade; propaganda
87,Sagaz Jr,TO,Palmas,56.926.385/0001-77,,https://sagazjunior.wordpress.com/,Tocantins Júnior,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,Jornalismo,7.0,2150.0,3.0,1.0,Não,,22,2.3,9,1.4,9.5,44.2,50.2,True,True,False,jornalismo
88,Argo Consultoria Jurídica,SC,Florianópolis,35.747.113/0001-30,argoconsultoriajuridica@gmail.com,https://www.argoconsultoriajuridica.com.br/,FEJESC,FACULDADE CESUSC,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Design De Interiores, Direito, Gestão Comercial, Gestão De Recursos Humanos, Marketing, Produção Multimídia, Psicologia",9.0,18370.0,7.0,1.0,Não,,24,3.2,17,2.8,11.0,58.0,50.0,False,True,True,marketing; design
89,Crescer Empresa Jr,RS,Lajeado,46.438.882/0001-72,,,FEJERS,UNIVERSIDADE DO VALE DO TAQUARI,"Administração, Ciências Biológicas, Ciências Contábeis, Comércio Exterior, Design, Design De Moda, Direito, Educação Física, Fotografia, Gestão De Cooperativas, Gestão De Micro E Pequenas Empresas, Gestão De Recursos Humanos, Gestão Financeira, História, Jornalismo, Letras, Logística, Marketing, Pedagogia, Processos Gerenciais, Relações Internacionais",15.0,1000.0,1.0,1.0,Sim,https://www.facebook.com/Crescer-Empresa-Jr-Univates-102694165719438/,26,6.0,7,2.2,12.5,53.7,49.7,True,True,True,jornalismo; marketing; design
90,EJ7 Consultoria,CE,Fortaleza,40.038.893/0001-89,ej7consultoria@gmail.com,,FEJECE,UNIVERSIDADE DE FORTALEZA,"Administração, Ciências Contábeis, Ciências Econômicas, Marketing, Psicologia",9.0,150.0,1.0,1.0,Não,,22,2.3,12,1.3,9.5,47.1,49.1,False,True,False,marketing
91,Prospecta Júnior,,,04.505.919/0001-98,,,FEJESP,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,"Administração, Gestão De Recursos Humanos, Gestão Financeira, Marketing",21.0,1050.0,4.0,1.0,Sim,,22,7.1,4,3.3,9.5,46.0,48.0,False,True,False,marketing
92,UNIJUNIOR,,,03.658.422/0001-47,,,FEJEMS,CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS,"Administração, Agronegócio, Agronomia, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Artes Visuais, Biomedicina, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Comércio Exterior, Design De Interiores, Direito, Educação Física, Enfermagem, Engenharia Ambiental E Sanitária, Engenharia Civil, Engenharia De Produção, Engenharia De Software, Engenharia Mecânica, Estética E Cosmética, Farmácia, Filosofia, Fisioterapia, Formação Pedagógica Para Portadores De Ensino Superior, Gastronomia, Geografia, Gestão Comercial, Gestão De Recursos Humanos, Gestão De Turismo, Gestão Pública, História, Letras - Língua Portuguesa, Letras - Português E Inglês, Logística, Marketing, Matemática, Medicina Veterinária, Negócios Imobiliários, Nutrição, Odontologia, Pedagogia, Produção Agrícola, Produção Publicitária, Psicologia, Radiologia, Segunda Licenciatura Em Pedagogia, Serviços Jurídicos, Serviço Social, Teologia",5.0,696.0,2.0,1.0,Não,,24,1.9,4,0.9,11.0,41.8,33.8,False,True,True,marketing; design
93,Empresa Junior UNIFIA,,,54.948.420/0001-23,,,FEJESP,CENTRO UNIVERSITÁRIO AMPARENSE,"Administração, Análise E Desenvolvimento De Sistemas, Biomedicina, Ciências Biológicas, Ciências Contábeis, Direito, Educação Física, Enfermagem, Engenharia Civil, Estética E Cosmética, Gestão Da Produção Industrial, Gestão Da Qualidade, Gestão De Recursos Humanos, Logística, Marketing, Mecatrônica Industrial, Nutrição, Pedagogia, Psicologia, Química",1.0,0.0,0.0,0.0,Não,,22,0.1,4,0.1,9.5,35.8,27.799999999999997,False,True,True,marketing
